,Stock,Symbol,instrument_token
84,Hindustan Copper Limited,HINDCOPPER,4592385.0
85,Hindustan Petroleum Corporation Limited,HINDPETRO,359937.0
86,Hindustan Unilever Limited,HINDUNILVR,356865.0
87,Housing & Urban Development Corporation Limited,HUDCO,5331201.0
88,ICICI Bank Limited,ICICIBANK,1270529.0
89,ICICI Lombard General Insurance Company Limited,ICICIGI,5573121.0
90,ICICI Prudential Life Insurance Company Limited,ICICIPRULI,4774913.0
91,IDFC First Bank Limited,IDFCFIRSTB,2863105.0
92,IIFL Finance Limited,IIFL,3023105.0
93,IRB Infrastructure Developers Limited,IRB,3920129.0
94,ITC Limited,ITC,424961.0
95,Indian Bank,INDIANB,3663105.0
96,Indian Energy Exchange Limited,IEX,56321.0
97,Indian Oil Corporation Limited,IOC,415745.0
98,Indian Railway Catering And Tourism Corporation Limited,IRCTC,3484417.0
99,Indian Railway Finance Corporation Limited,IRFC,519425.0
100,Indian Renewable Energy Development Agency Limited,IREDA,5186817.0
101,Indraprastha Gas Limited,IGL,2883073.0
102,Indus Towers Limited,INDUSTOWER,7458561.0
103,IndusInd Bank Limited,INDUSINDBK,1346049.0
104,Info Edge (India) Limited,NAUKRI,3520257.0
105,Infosys Limited,INFY,408065.0
106,InterGlobe Aviation Limited,INDIGO,2865921.0
107,JK Cement Limited,JKCEMENT,3397121.0
108,JSW Energy Limited,JSWENERGY,4574465.0
109,JSW Steel Limited,JSWSTEEL,3001089.0
110,Jindal Stainless Limited,JSL,2876417.0
111,Jindal Steel & Power Limited,JINDALSTEL,1723649.0
112,Jio Financial Services Limited,JIOFIN,4644609.0
113,Jubilant Foodworks Limited,JUBLFOOD,4632577.0
114,KEI Industries Limited,KEI,3407361.0
115,KPIT Technologies Limited,KPITTECH,2478849.0
116,Kalyan Jewellers India Limited,KALYANKJIL,756481.0
117,Kotak Mahindra Bank Limited,KOTAKBANK,492033.0
118,L&T Finance Limited,LTF,6386689.0
119,L&T Technology Services Limited,LTTS,4752385.0
120,LIC Housing Finance Limited,LICHSGFIN,511233.0
121,LTIMindtree Limited,LTIM,4561409.0
122,Larsen & Toubro Limited,LT,2939649.0
123,Laurus Labs Limited,LAURUSLABS,4923905.0
124,Life Insurance Corporation Of India,LICI,2426881.0
125,Lupin Limited,LUPIN,2672641.0
126,MRF Limited,MRF,582913.0
127,Macrotech Developers Limited,LODHA,824321.0
128,Mahanagar Gas Limited,MGL,4488705.0
129,Mahindra & Mahindra Financial Services Limited,M&MFIN,3400961.0
130,Mahindra & Mahindra Limited,M&M,519937.0
131,Manappuram Finance Limited,MANAPPURAM,4879617.0
132,Marico Limited,MARICO,1041153.0
133,Maruti Suzuki India Limited,MARUTI,2815745.0
134,Max Financial Services Limited,MFSL,548353.0
135,Max Healthcare Institute Limited,MAXHEALTH,5728513.0
136,MphasiS Limited,MPHASIS,1152769.0
137,Multi Commodity Exchange of India Limited,MCX,7982337.0
138,Muthoot Finance Limited,MUTHOOTFIN,6054401.0
139,NBCC (India) Limited,NBCC,8042241.0
140,NCC Limited,NCC,593665.0
141,NHPC Limited,NHPC,4454401.0
142,NMDC Limited,NMDC,3924993.0
143,NTPC Limited,NTPC,2977281.0
144,National Aluminium Company Limited,NATIONALUM,1629185.0
145,Nestle India Limited,NESTLEIND,4598529.0
146,Oberoi Realty Limited,OBEROIRLTY,5181953.0
147,Oil & Natural Gas Corporation Limited,ONGC,633601.0
148,Oil India Limited,OIL,4464129.0
149,One 97 Communications Limited,PAYTM,1716481.0
150,Oracle Financial Services Software Limited,OFSS,2748929.0
151,PB Fintech Limited,POLICYBZR,1703937.0
152,PI Industries Limited,PIIND,6191105.0
153,Page Industries Limited,PAGEIND,3689729.0
154,Patanjali Foods Limited,PATANJALI,4359425.0
155,Persistent Systems Limited,PERSISTENT,4701441.0
156,Petronet LNG Limited,PETRONET,2905857.0
157,Pidilite Industries Limited,PIDILITIND,681985.0
158,Piramal Enterprises Limited,PEL,617473.0
159,Polycab India Limited,POLYCAB,2455041.0
160,Poonawalla Fincorp Limited,POONAWALLA,2919169.0
161,Power Finance Corporation Limited,PFC,3660545.0
162,Power Grid Corporation of India Limited,POWERGRID,3834113.0
163,Prestige Estates Projects Limited,PRESTIGE,5197313.0
164,Punjab National Bank,PNB,2730497.0
165,RBL Bank Limited,RBLBANK,4708097.0
166,REC Limited,RECLTD,3930881.0
167,Reliance Industries Limited,RELIANCE,738561.0
168,SBI Cards and Payment Services Limited,SBICARD,4600577.0
169,SBI Life Insurance Company Limited,SBILIFE,5582849.0
170,SHREE CEMENT LIMITED,SHREECEM,794369.0
171,SJVN Limited,SJVN,4834049.0
172,SRF Limited,SRF,837889.0
173,Samvardhana Motherson International Limited,MOTHERSON,1076225.0
174,Shriram Finance Limited,SHRIRAMFIN,1102337.0
175,Siemens Limited,SIEMENS,806401.0
176,Solar Industries India Limited,SOLARINDS,3412993.0
177,Sona BLW Precision Forgings Limited,SONACOMS,1199105.0
178,State Bank of India,SBIN,779521.0
179,Steel Authority of India Limited,SAIL,758529.0
180,Sun Pharmaceutical Industries Limited,SUNPHARMA,857857.0
181,Supreme Industries Limited,SUPREMEIND,860929.0
182,Syngene International Limited,SYNGENE,2622209.0
183,TATA CONSUMER PRODUCTS LIMITED,TATACONSUM,878593.0
184,TITAGARH RAIL SYSTEMS LIMITED,TITAGARH,3945985.0
185,TVS Motor Company Limited,TVSMOTOR,2170625.0
186,Tata Chemicals Limited,TATACHEM,871681.0
187,Tata Communications Limited,TATACOMM,952577.0
188,Tata Consultancy Services Limited,TCS,2953217.0
189,Tata Elxsi Limited,TATAELXSI,873217.0
190,Tata Motors Limited,TATAMOTORS,884737.0
191,Tata Power Company Limited,TATAPOWER,877057.0
192,Tata Steel Limited,TATASTEEL,895745.0
193,Tata Technologies Limited,TATATECH,5195009.0
194,Tech Mahindra Limited,TECHM,3465729.0
195,The Federal Bank Limited,FEDERALBNK,261889.0
196,The Indian Hotels Company Limited,INDHOTEL,387073.0
197,The Phoenix Mills Limited,PHOENIXLTD,3725313.0
198,The Ramco Cements Limited,RAMCOCEM,523009.0
199,Titan Company Limited,TITAN,897537.0
200,Torrent Pharmaceuticals Limited,TORNTPHARM,900609.0
201,Torrent Power Limited,TORNTPOWER,3529217.0
202,Trent Limited,TRENT,502785.0
203,Tube Investments of India Limited,TIINDIA,79873.0
204,UPL Limited,UPL,2889473.0
205,UltraTech Cement Limited,ULTRACEMCO,2952193.0
206,Union Bank of India,UNIONBANK,2752769.0
207,United Spirits Limited,UNITDSPR,2674433.0
208,Varun Beverages Limited,VBL,4843777.0
209,Vedanta Limited,VEDL,784129.0
210,Vodafone Idea Limited,IDEA,3677697.0
211,Voltas Limited,VOLTAS,951809.0
212,Wipro Limited,WIPRO,969473.0
213,Yes Bank Limited,YESBANK,3050241.0
215,Zydus Lifesciences Limited,ZYDUSLIFE,2029825.0
